rhcalyr,6,12,34,36,48,All
1995,62,23,19,43,48,195
1996,319,105,76,166,211,873
1997,318,107,74,162,216,873
1998,303,97,68,151,208,823
1999,283,87,64,140,185,758
2000,282,95,58,145,207,787
2001,207,76,48,106,149,583
2002,201,77,44,96,144,562
2003,341,139,91,162,234,963
2004,204,99,59,103,143,604
2005,201,96,56,103,146,597
2006,197,91,52,98,140,576
2007,127,69,27,71,80,372
2008,222,86,74,86,150,618
2009,225,85,75,91,160,631
2010,220,86,73,90,163,630
2011,218,83,69,83,161,612
2012,148,51,41,52,103,395
All,1002,389,276,485,707,2817
